Título,Autor,Ano de publicação,Número de páginas
Orgulho e Preconceito,Jane Austen,1813,368
A Metamorfose,Franz Kafka,1915,120
Fahrenheit 451,Ray Bradbury,1953,158
O Morro dos Ventos Uivantes,Emily Brontë,1847,416
A Casa dos Espíritos,Isabel Allende,1982,368
O Grande Gatsby,F. Scott Fitzgerald,1925,180
Harry Potter e a Pedra Filosofal,J.K. Rowling,1997,223
O Senhor dos Anéis: A Sociedade do Anel,J.R.R. Tolkien,1954,423
Cem Anos de Solidão,Gabriel García Márquez,1967,417
A Cidade do Sol,Khaled Hosseini,2007,384
